code,name,description,refreshed_at,from_date,to_date
130397,UTI Mutual Fund - UTI FTIF Series XIX - VII (1095 Days) - Maturity Div Option,ISIN Div Payout/ ISIN Growth: INF789FA1QQ8,2017-12-27 20:02:18,2016-08-30,2017-07-03
130398,UTI Mutual Fund - UTI FTIF Series XIX - VII (1095 Days) - Maturity Div Option - Direct,ISIN Div Payout/ ISIN Growth: INF789FA1QI5,2017-12-27 20:02:18,2016-08-30,2017-07-03
130402,ICICI Prudential Mutual Fund - ICICI Prudential Fixed Maturity Plan - Series 74 - 367 Days Plan Z Direct Plan Cumulative Option,ISIN Div Payout/ ISIN Growth: INF109KB1JH7,2017-12-27 20:01:54,2016-08-30,2017-08-28
130403,ICICI Prudential Mutual Fund - ICICI Prudential Fixed Maturity Plan - Series -74 - 367 Days Plan Z Direct Plan Dividend Option,ISIN Div Payout/ ISIN Growth: INF109KB1JI5,2017-12-27 20:01:54,2016-08-30,2017-08-28
130404,ICICI Prudential Mutual Fund - ICICI Prudential Fixed Maturity Plan - Series - 74 -367 days Plan Z Cumulative Option,ISIN Div Payout/ ISIN Growth: INF109KB1JF1,2017-12-27 20:01:54,2016-08-30,2017-08-28
130405,ICICI Prudential Mutual Fund - ICICI Prudential Fixed Maturity Plan - Series -74 - 367 Days Plan Z Dividend Option,ISIN Div Payout/ ISIN Growth: INF109KB1JG9,2017-12-27 20:01:54,2016-08-30,2017-08-28
130413,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVI- Series 33- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1RB8,2017-12-27 20:02:07,2016-08-30,2017-07-24
130414,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVI Series- 33- Dividend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1RC6,2017-12-27 20:02:07,2016-08-30,2017-07-24
130415,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVI- Series 33- Direct Plan- Growth Option,ISIN Div Payout/ ISIN Growth: INF204KA1RD4,2017-12-27 20:02:07,2016-08-30,2017-07-24
130416,Reliance Mutual Fund - Reliance Fixed Horizon Fund XXVI- Series 33- Direct Plan- Dividend Payout Option,ISIN Div Payout/ ISIN Growth: INF204KA1RE2,2017-12-27 20:02:07,2016-08-30,2017-07-24
130421,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Direct Option - Flexi Option,ISIN Div Payout/ ISIN Growth: INF179KA1TD1,2017-12-27 20:01:51,2014-11-07,2014-11-07
130422,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Regular Option - Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KA1TF6,2017-12-27 20:01:51,2016-08-30,2017-07-27
130423,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Regular Option - Flexi Option,ISIN Div Payout/ ISIN Growth: INF179KA1TH2,2017-12-27 20:01:51,2016-07-27,2016-07-27
130424,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Direct Option - Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KA1TB5,2017-12-27 20:01:51,2016-08-30,2017-07-27
130425,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Direct Option - Growth Option,ISIN Div Payout/ ISIN Growth: INF179KA1TA7,2017-12-27 20:01:51,2016-08-30,2017-07-27
130426,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Direct Option - Quarterly Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KA1TC3,2017-12-27 20:01:51,2016-08-30,2017-07-27
130427,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Regular Option - Growth Option,ISIN Div Payout/ ISIN Growth: INF179KA1TE9,2017-12-27 20:01:51,2016-08-30,2017-07-27
130428,HDFC Mutual Fund - HDFC FMP 750D June 2014 (1) - Regular Option - Quarterly Dividend Option,ISIN Div Payout/ ISIN Growth: INF179KA1TG4,2017-12-27 20:01:51,2016-08-30,2017-07-27
