Exchange,Stock,Stock_Name,Sector,Market_Cap,Weight_per
ASX,ANR,Anatara LS Limited,Health Care,24212500,0.001
ASX,ANS,Austsino Res Group Limited,Materials,86269100,0.004
ASX,ANW,Aus Tin Mining,Materials,45497900,0.002
ASX,ANZ,ANZ Banking Group Limited,Financials,80978600000,3.793
ASX,AO1,Assetowl Limited,Information Technology,1981610,0
ASX,AOA,Ausmon Resorces,Materials,2983520,0
ASX,AOD,Aurora DIV Income Managed Fund Units,,6332740,0
ASX,AOF,Australian Unity Off Ordinary Units FP,Real Estate,431505000,0.02
ASX,AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,1173290000,0.055
ASX,AOK,Austex Oil Limited,Energy,9584960,0
ASX,AON,Apollo Minerals Limited,Materials,36960300,0.002
ASX,AOP,Apollo Consolidated,Materials,32939500,0.002
ASX,AOU,Auroch Minerals Limited,Materials,11356700,0.001
ASX,AOW,American Patriot Oil,Energy,10999100,0.001
ASX,APA,APA Group Units FP Stapled Securities,Utilities,11775300000,0.552
ASX,APC,Aust Potash Limited,Materials,21660200,0.001
ASX,APD,Apn Property Group,Financials,141184000,0.007
ASX,APE,A.P. Eagers Limited,Consumer Discretionary,1511340000,0.071
ASX,APG,Austpac Resources NL,Materials,1912370,0
ASX,API,Australian Pharm,Health Care,849439000,0.04
ASX,APL,Antipodes Global INV,,475926000,0.022
ASX,APO,Apn Outdoor Group,Consumer Discretionary,1112260000,0.052
ASX,APT,Afterpay Touch,Information Technology,4127980000,0.193
ASX,APW,Aims Pror Sec Fund Ordinary Units FP,Real Estate,78055400,0.004
ASX,APX,Appen Limited,Information Technology,1487100000,0.07
ASX,APZ,Aspen Group Ordinary/Units FP Stapled Securities,Real Estate,95161600,0.004
ASX,AQC,Auspaccoal Limited,Materials,36679600,0.002
ASX,AQD,Ausquest Limited,Materials,12637600,0.001
ASX,AQG,Alacer Gold Corp Chess Depositary Interests 1:1,Materials,214204000,0.01
ASX,AQI,Alicanto Min Limited,Materials,4050210,0
ASX,AQJ,Aus Asia Min Limited,Energy,68839,0
ASX,AQS,AQUIS Ent Limited,Consumer Discretionary,714384,0
ASX,AQX,Alice QUEEN Limited,Energy,7319670,0
ASX,AQZ,Alliance Aviation,Industrials,307045000,0.014
ASX,AR9,Archtis Limited,Information Technology,14687400,0.001
ASX,ARA,Ariadne Australia,Industrials,133778000,0.006
ASX,ARB,ARB Corporation,Consumer Discretionary,1520230000,0.071
ASX,ARC,Aust Rural Cap Limited,Financials,8244780,0
ASX,ARD,Argent Minerals,Materials,7423350,0
ASX,ARE,Argonaut Resources,Materials,34196400,0.002
ASX,ARF,Arena REIT Stapled Securities FP,Real Estate,639028000,0.03
ASX,ARG,Argo Investments,,5652910000,0.265
ASX,ARH,Australasian Resour,Materials,2445750,0
ASX,ARI,Acn 004410833 Limited,Materials,64620500,0.003
ASX,ARL,Ardea Resources Limited,Materials,61962700,0.003
ASX,ARM,Aurora Minerals Limited,Materials,3037020,0
ASX,ARN,Aldoro Resources,Materials,5295000,0
ASX,ARO,Astro Resources NL,Materials,2657030,0
ASX,ARQ,ARQ Group Limited,Information Technology,279657000,0.013
ASX,ARS,Alt Resources Limited,Materials,6671490,0
ASX,ARU,Arafura Resource Limited,Materials,45330900,0.002
ASX,ARV,Artemis Resources,Materials,123765000,0.006
ASX,ARX,Arc Exploration Limited,Materials,4292620,0
